name;magnitude;right ascendance;declination;spectral type;rotation;temperature;luminosity
 77The1Tau;3.84;1.171879509635943;0.2785933337127838;K0IIIbFe-0;nan;5200.0;IIIbFe-0
 78The2Tau;3.4;1.1722576643072082;0.2769982967019334;A7III;116.11111111111111;8055.555555555556;III
 79    Tau;5.03;1.1730212458549556;0.22772183415396013;A7V;116.11111111111111;8055.555555555556;V
 80    Tau;5.58;1.1787226547448038;0.27293555805423547;F0V;95.0;7500.0;V
 81    Tau;5.48;1.1809261329254468;0.273876096595588;A5m;137.22222222222223;8611.111111111111;m
 83    Tau;5.4;1.1808097776419804;0.23953674356259952;F0V;95.0;7500.0;V
 85    Tau;6.02;1.1862275705283793;0.2766637752619678;F4V;58.111111111111114;6833.333333333333;V
 86Rho Tau;4.65;1.194888766941401;0.259084431184936;A8V;105.55555555555556;7777.777777777777;V
 87Alp Tau;0.85;1.2039281180256884;0.2881393150938305;K5+III;nan;4366.666666666667;+III
 88    Tau;4.25;1.2027718373962422;0.1773399964130572;A5m;137.22222222222223;8611.111111111111;m
 89    Tau;5.79;1.2136874174264234;0.2798344567364242;F0V;95.0;7500.0;V
 90    Tau;4.27;1.21369468963164;0.21835523383492392;A6V;126.66666666666667;8333.333333333334;V
 91Sig1Tau;5.07;1.2180361961459762;0.27575717367829294;A4m;147.77777777777777;8888.888888888889;m
 92Sig2Tau;4.69;1.2185670671267912;0.27782247995981957;A5Vn;137.22222222222223;8611.111111111111;Vn
 93    Tau;5.46;1.2219777313733966;0.21289138364881946;B8IV;191.11111111111111;12222.222222222223;IV
 94Tau Tau;4.28;1.231526136822849;0.40067426675297596;B3V;196.66666666666666;23333.333333333336;V
 95    Tau;6.13;1.235824010105885;0.4204304242581896;F7IV-V;30.444444444444457;6333.333333333334;IV-V
 97    Tau;5.1;1.2713632769996193;0.3288151829389206;A7IV-V;116.11111111111111;8055.555555555556;IV-V
 98    Tau;5.81;1.30095388002614;0.43720982576139067;A0V;190.0;10000.0;V
102Iot Tau;4.64;1.3225014240830535;0.37681658550557573;A7V;116.11111111111111;8055.555555555556;V
104    Tau;5.0;1.3415036963141416;0.32541663903434276;G4V;7.111111111111111;5644.444444444444;V
106    Tau;5.3;1.3430599482305032;0.3563671444363755;A5V;137.22222222222223;8611.111111111111;V
103    Tau;5.5;1.3443834895799323;0.4235089911332352;B2V;197.77777777777777;25555.555555555555;V
105    Tau;5.89;1.3435762748008848;0.37881886600855813;B2Ve;197.77777777777777;25555.555555555555;Ve
108    Tau;6.27;1.3764611867905447;0.3889417756701253;A2V;168.88888888888889;9444.444444444445;V
109    Tau;4.94;1.3931072645314404;0.3856547389122026;G8III;2.2222222222222214;5288.888888888889;III
110    Tau;6.08;1.4120949923520956;0.29146028880943087;A2IV;168.88888888888889;9444.444444444445;IV
111    Tau;4.99;1.4155638342404344;0.30339640163834763;F8V;21.22222222222223;6166.666666666667;V
112Bet Tau;1.65;1.4237159762882912;0.49929506576427785;B7III;192.22222222222223;14444.444444444445;III
113    Tau;6.25;1.4228578560727274;0.2914748332198641;B2Vn;197.77777777777777;25555.555555555555;Vn
115    Tau;5.42;1.4275411562322455;0.3134999187526703;B5V;194.44444444444446;18888.88888888889;V
114    Tau;4.88;1.4295773736929054;0.3828719083826339;B2.5IV;198.2828282828283;24545.454545454548;IV
116    Tau;5.5;1.430122789084154;0.27705647434366654;B9.5Vn;190.50505050505052;8989.898989898993;Vn
117    Tau;5.77;1.4312863419188167;0.3008753704965781;M1III;nan;3555.5555555555557;III
118    Tau;5.47;1.4367332236260824;0.438960003150196;B8.5V;191.61616161616163;11212.121212121216;V
119    Tau;4.38;1.449554121423024;0.3245342781347234;M2Iab-Ib;nan;3411.1111111111113;Iab-Ib
120    Tau;5.69;1.4552846191337385;0.3235888914565598;B2IV-Ve;197.77777777777777;25555.555555555555;IV-Ve
121    Tau;5.38;1.4636840161589613;0.4195674559058146;B2.5IV;198.2828282828283;24545.454545454548;IV
122    Tau;5.54;1.4707162386034551;0.29740895267664486;F0V;95.0;7500.0;V
123Zet Tau;3.0;1.4732542382240637;0.3690062371029011;B4IIIpe;195.55555555555554;21111.11111111111;IIIpe
125    Tau;5.18;1.4823808557709506;0.4519869467616093;B3IV;196.66666666666666;23333.333333333336;IV
126    Tau;4.86;1.4891803676485118;0.288570799270018;B3IV;196.66666666666666;23333.333333333336;IV
129    Tau;6.0;1.5130186563486676;0.27615472089680276;B8IIIpHgMn;191.11111111111111;12222.222222222223;IIIpHgMn
131    Tau;5.72;1.5150330571936776;0.2528691197931118;A3Vn;158.33333333333334;9166.666666666666;Vn
130    Tau;5.49;1.5159784438718413;0.3094323319681613;F0III;95.0;7500.0;III
133    Tau;5.29;1.5171929021430208;0.2425959178904007;B2IV-V;197.77777777777777;25555.555555555555;IV-V
132    Tau;4.86;1.522872494417219;0.4287837639837069;G8III;2.2222222222222214;5288.888888888889;III
134    Tau;4.91;1.525192327881328;0.22080354292452709;B9IV;190.0;10000.0;IV
137    Tau;5.59;1.5375114435183217;0.24734224382846307;B9pSiCrEu;190.0;10000.0;pSiCrEu
136    Tau;4.58;1.5416784171074578;0.4819241915701232;A0V;190.0;10000.0;V
139    Tau;4.82;1.562047863919275;0.4529808148078838;B0.5II;200.50505050505052;28989.898989898993;II
